University,Major,Application Completed,Decision ,Result,GRE_Quant,GRE_Verbal,GRE_Total,GRE_AWA,TOEFL,IELTS,UG_Score,Scale
University of North Carolina at Charlotte,Computer Science,11/29/2014,03-04-2015,Admit,162,160,322,4,108,0,6.4,10
Northern Illinois University,Management Information Systems,12-05-2014,02-03-2015,Admit,153,141,294,3,83,0,7.5,10
Florida International University Miami,Computer Engineering,1/13/2015,02-08-2015,Admit,157,144,301,2,81,0,6.2,10
University of North Carolina at Charlotte,Computer Science,11-05-2014,1/29/2015,Admit,159,150,309,3.5,101,0,8,10
University of Illinois Springfield,Computer Science,11-07-2014,02-03-2015,Admit,156,136,292,3.5,78,6.5,6.4,10
California State University San Marcos,Applied CS,02-10-2015,02-03-2015,Admit,170,170,340,0.5,120,0,1.2,10
University of Illinois Chicago,Management Information Systems,12/13/2014,01-05-2015,Admit,160,155,315,3.5,109,0,6.2,10
University of Texas at Arlington,Computer Science,12-03-2014,02-05-2015,Admit,160,139,299,2.5,93,0,8.5,10
University of Delaware,Computer Science,10/25/2014,01-05-2015,Admit,158,139,297,3.5,86,0,9.06,10
University of North Carolina at Charlotte,Computer Engineering,12-05-2014,02-05-2015,Admit,163,150,313,3,107,0,5.7,10
NONE OF THE ABOVE,Computer Science,11/27/2014,1/23/2015,Admit,167,157,324,4.5,109,0,8,10
University of North Carolina at Charlotte,Computer Science,12-12-2014,02-06-2015,Admit,161,146,307,4,103,0,7.012,10
Kent State University,Computer Science,11/13/2014,01-05-2015,Admit,151,140,291,3,85,0,6.9,10
NorthWest Missouri State University,Applied CS,12/13/2014,1/16/2015,Admit,153,141,294,2.5,84,7,5.9,10
Texas A&M University Kingsville,Applied CS,11/13/2014,01-02-2015,Admit,153,141,294,2.5,84,7,5.8,10
University of Wisconsin - Madison,Computer Science,10/24/2014,02-07-2015,Admit,165,152,317,4,0,0,9.66,10
NorthWest Missouri State University,Applied CS,01-05-2015,1/20/2015,Admit,153,141,294,2,78,6.5,6.3,10
University of Texas at Dallas,Computer Science,12/15/2014,02-10-2015,Admit,160,148,308,3,96,8,8.2,10
Kent State University,Digital Science,12-09-2014,11-04-2014,Admit,156,134,290,2.5,79,0,6.8,10
University of Maryland College Park,Computer Science,12-06-2014,02-07-2015,Admit,170,162,332,4,116,0,9.47,10
University of Pittsburgh,Telecommunication & Networking,11/29/2014,02-06-2015,Admit,159,148,307,2.5,95,0,7.3,10
Binghamton University - SUNY,Computer Science,12/18/2014,02-11-2015,Admit,157,153,310,3,92,0,6.1,10
Rochester Institute of Technology,Computer Science,1/15/2015,02-09-2015,Admit,157,153,310,3,92,0,6.1,10
University of Wisconsin - Madison,Computer Science,11-10-2014,02-05-2015,Admit,162,157,319,4.5,114,0,9.58,10
University of Washington,Computer Science,12-03-2014,02-10-2015,Admit,160,147,307,3.5,97,0,6.05,10
Illinois Institute of Technology Chicago,Computer Science,01-10-2015,1/30/2015,Admit,159,144,303,3,80,0,7.02,10
Illinois Institute of Technology Chicago,Computer Science,1/15/2015,1/21/2015,Admit,163,152,315,3.5,84,7,7.7,10
Illinois Institute of Technology Chicago,Information Technology Management,12-01-2014,02-10-2015,Admit,150,147,297,3,108,0,7.4,10
Northern Illinois University,Management Information Systems,12-06-2014,02-02-2015,Admit,153,139,292,3,78,6.5,8.1,10
Syracuse University,Information Systems Management,12/21/2014,2/17/2015,Admit,157,151,308,4,115,0,8.39,10
University of Alabama at Huntsville,Computer Science,12/15/2014,2/14/2015,Admit,155,140,295,3,78,6.5,8.2,10
NONE OF THE ABOVE,Computer Science,12/18/2014,2/17/2015,Admit,157,152,309,4,105,0,7.6,10
University of North Carolina at Charlotte,Computer Science,11/28/2014,02-03-2015,Admit,161,146,307,3.5,98,0,7,10
University of Texas at Arlington,Computer Science,01-05-2015,2/20/2015,Admit,156,151,307,4.5,107,0,7.69,10
Syracuse University,Management Information Systems,11/15/2014,02-10-2015,Admit,165,152,317,4,103,0,5.8,10
University of Texas at Dallas,Information Technology Management,11/15/2014,01-10-2015,Admit,165,152,317,4,103,0,5.8,10
NONE OF THE ABOVE,Computer Science,11/15/2014,1/27/2015,Admit,163,161,324,4,118,0,0.374,10
Illinois Institute of Technology Chicago,Computer Science,1/26/2015,2/16/2015,Admit,160,147,307,4,96,0,6.43,10
Arizona State University,Computer Engineering,12-05-2014,2/20/2015,Admit,167,159,326,3.5,113,0,8.53,10
University of Texas at Arlington,Computer Science,12/19/2014,01-10-2015,Admit,155,145,300,3,100,0,5.96,10
Syracuse University,Management Information Systems,12/31/2014,1/31/2015,Admit,157,150,307,3,98,0,8.324,10
University of Texas at Dallas,Management Information Systems,12/31/2014,02-10-2015,Admit,157,150,307,3,98,0,8.324,10
Illinois Institute of Technology Chicago,Computer Science,1/16/2015,2/16/2015,Admit,154,152,306,4.5,115,0,7.46,10
George Mason University,Computer Science,12/26/2014,2/19/2015,Admit,164,159,323,4,114,0,6.3,10
Lamar University,Computer Science,1/25/2015,2/14/2014,Admit,153,143,296,3,78,6.5,6.92,10
University of North Texas,Computer Science,12/22/2014,1/30/2015,Admit,163,141,304,2.5,78,6.5,7.4,10
Rochester Institute of Technology,Computer Science,12/30/2014,02-10-2015,Admit,163,153,316,3,101,0,7.5,10
Stevens Institute of Technology,Computer Engineering,1/21/2015,1/29/2015,Admit,159,149,308,3.5,108,0,8.51,10
University of Texas at Dallas,Information Technology Management,12/19/2014,02-06-2015,Admit,157,144,301,3.5,88,0,8.1,10
University of Texas at Dallas,Information Technology Management,12/19/2014,02-06-2015,Admit,157,144,301,3.5,88,0,8.1,10
Arizona State University,Computer Engineering,12-05-2014,2/20/2015,Admit,166,161,327,4.5,113,0,8.91,10
University of Michigan Dearborn,Computer Science,11-11-2014,02-04-2015,Admit,160,149,309,3.5,99,0,7.97,10
Rochester Institute of Technology,Computer Engineering,12/27/2014,2/21/2015,Admit,157,156,313,3.5,107,0,6.7,10
Carnigie Mellon University,Information Systems Management,01-12-2015,2/21/2015,Admit,161,165,326,4,114,0,8.57,10
Rochester Institute of Technology,Computer Science,12-11-2014,1/22/2015,Admit,168,151,319,4,111,0,7,10
Kansas State University,Computer Science,11-11-2014,12-02-2014,Admit,160,150,310,3,107,0,8.033,10
University of Texas at Dallas,Information Technology Management,01-05-2015,2/19/2015,Admit,160,147,307,3.5,102,0,6.36,10
University of Houston Clear Lake,Management Information Systems,12-03-2014,02-07-2015,Admit,158,141,299,3,86,0,7.34,10
NONE OF THE ABOVE,Computer Science,01-03-2015,2/19/2015,Admit,167,151,318,4,105,0,7.52,10
Binghamton University - SUNY,Computer Science,12-03-2014,12-02-2015,Admit,165,148,313,3.5,91,0,6.2,10
Kansas State University,Computer Science,12-01-2014,12/20/2014,Admit,166,146,312,3,91,0,9.9,10
University of Texas at Dallas,Computer Science,12/16/2014,2/21/2015,Admit,163,148,311,3,92,0,7.2,10
Rochester Institute of Technology,Computer Science,12-05-2014,1/14/2015,Admit,159,150,309,3,109,0,8.37,10
Oakland University,Data Analytics,12/29/2014,2/19/2015,Admit,157,146,303,3,87,0,7.3,10
University of California Berkeley,Information Sytem and Management,01-05-2015,02-09-2015,Admit,161,163,324,5,120,0,7.23,10
North Carolina State University,Computer Science,12-05-2014,2/13/2015,Admit,168,152,320,3.5,106,0,8.41,10
Michigan Technological University,Computer Science,12-05-2014,1/16/2015,Admit,168,152,320,3.5,106,0,8.41,10
University of Central Missouri,Computer Science,01-01-2015,1/24/2015,Admit,150,140,290,2.5,78,6.5,6.98,10
University of Central Missouri,Computer Information Systems,12/17/2014,02-02-2015,Admit,147,140,287,2,72,6,6.9,10
Kent State University,Digital Science,12/17/2014,02-11-2015,Admit,147,140,287,2,72,6,6.9,10
South Dakota State University,Computer Science,12/17/2014,1/22/2015,Admit,147,140,287,2,72,6,6.9,10
Arizona State University,Computer Information Systems,2/24/2015,2/24/2015,Admit,133,133,266,4,100,0,5,10
